time/ms;on
0;1
201;0
401;1
601;0
801;1
1001;0
1201;1
1401;0
1601;1
1801;0
5001;1
5734;0
6877;1
7419;0
7778;1
7969;0
8329;1
8614;0
9280;1
9903;0
10395;1
11329;0
12239;1
13157;0
13766;1
14812;0
15260;1
16069;0
17183;1
17926;0
18496;1
19502;0
19838;1
20381;0
21154;1
21980;0
22917;1
23640;0
24811;1
25655;0
26407;1
27557;0
27779;1
28756;0
29017;1
29728;0
30778;1
31407;0
31946;1
32875;0
33331;1
33579;0
34724;1
35292;0
35816;1
36199;0
36535;1
37066;0
37452;1
38034;0
39022;1
39570;0
40073;1
40727;0
40870;1
42067;0
43098;1
43561;0
44107;1
44835;0
44995;1
45266;0
46025;1
46832;0
47147;1
48231;0
48471;1
49640;0
50404;1
51278;0
51970;1
52360;0
52747;1
53296;0
54401;1
54603;0
55133;1
55312;0
55662;1
56772;0
57807;1
58067;0
59083;1
59266;0
60195;1
61299;0
61629;1
61770;0
61973;1
62532;0
63094;1
63235;0
64109;1
64235;0
64754;1
65474;0
65647;1
65965;0
66682;1
66930;0
67124;1
67652;0
68608;1
68816;0
69868;1
70368;0
71031;1
71310;0
72069;1
72598;0
73233;1
73900;0
74186;1
75221;0
75430;1
75952;0
77040;1
77344;0
77579;1
77876;0
78463;1
79111;0
79970;1
80111;0
80494;1
80780;0
81619;1
82238;0
82857;1
83796;0
84079;1
85233;0
86242;1
86523;0
87023;1
87660;0
88615;1
88746;0
89532;1
90254;0
91383;1
92353;0
92501;1
92923;0
93837;1
94624;0
94786;1
95285;0
95486;1
96517;0
97367;1
98006;0
98394;1
99002;0
99364;1
99801;0
100966;1
101641;0
102551;1
103119;0
104136;1
104341;0
105375;1
106131;0
106968;1
107795;0
107985;1
109042;0
110139;1
110879;0
111737;1
111966;0
112758;1
113542;0
114179;1
115097;0
116028;1
117017;0
117364;1
118378;0
119020;1
119403;0
120102;1
121170;0
121662;1
121807;0
121915;1
122879;0
123038;1
123753;0
124863;1
125204;0
125385;1
125696;0
126863;1
127945;0
128478;1
129042;0
129631;1
130020;0
130408;1
130674;0
131606;1
132694;0
133069;1
133222;0
133984;1
134612;0
135654;1
136449;0
137137;1
137924;0
138172;1
138758;0
139848;1
140885;0
142036;1
142776;0
143152;1
144229;0
144524;1
145148;0
145546;1
146385;0
146868;1
147049;0
147798;1
148349;0
148662;1
149209;0
150364;1
151336;0
152432;1
152740;0
153794;1
154488;0
155101;1
155375;0
156515;1
157617;0
158477;1
159128;0
159908;1
160709;0
161281;1
161643;0
162713;1
163798;0
164115;1
164417;0
164750;1
165303;0
165789;1
166698;0
166981;1
167856;0
168934;1
169783;0
170778;1
171057;0
172131;1
172300;0
172568;1
173408;0
174549;1
174912;0
175582;1
176543;0
177318;1
177693;0
178557;1
178821;0
179586;1
180347;0
180869;1
181350;0
182481;1
183234;0
183693;1
183967;0
184767;1
185115;0
185654;1
186285;0
186530;1
187260;0
187561;1
187960;0
189052;1
190237;0
191269;1
191736;0
192699;1
193255;0
193400;1
194416;0
194785;1
195302;0
195460;1
196208;0
196784;1
196967;0
197390;1
198181;0
199294;1
200178;0
201129;1
201845;0
202426;1
202707;0
203732;1
204084;0
204484;1
205242;0
206429;1
207237;0
207739;1
208378;0
208775;1
209526;0
210201;1
211180;0
211774;1
211944;0
212326;1
212534;0
213489;1
214423;0
215086;1
215837;0
216554;1
217111;0
218290;1
218524;0
219262;1
219812;0
220639;1
220965;0
221368;1
221812;0
222748;1
223591;0
224354;1
225078;0
225639;1
225801;0
226013;1
226720;0
226869;1
227208;0
227825;1
228913;0
229978;1
231041;0
231616;1
232680;0
232791;1
233469;0
234541;1
234655;0
235485;1
236682;0
237235;1
238181;0
238519;1
238630;0
239061;1
240142;0
240536;1
240697;0
240915;1
241042;0
242136;1
242595;0
243284;1
243873;0
244832;1
245561;0
246036;1
246934;0
247956;1
248166;0
248317;1
248500;0
249053;1
249220;0
250004;1
250318;0
251347;1
251475;0
251640;1
252057;0
252359;1
253469;0
254420;1
255611;0
255811;1
256621;0
257760;1
258322;0
258698;1
259585;0
260032;1
261091;0
261955;1
262293;0
263133;1
263845;0
264157;1
265340;0
265929;1
266777;0
267658;1
268664;0
269299;1
269999;0
270559;1
271430;0
272248;1
273159;0
273821;1
274721;0
275475;1
275911;0
276156;1
277029;0
277780;1
278411;0
278955;1
279996;0
280596;1
281698;0
282393;1
282852;0
283132;1
283960;0
284115;1
284748;0
285319;1
286475;0
287566;1
287882;0
288229;1
288721;0
289880;1
291061;0
291923;1
292883;0
293017;1
293168;0
294311;1
294659;0
295423;1
295983;0
296787;1
297723;0
298833;1
299379;0
299572;1
300213;0
300413;1
300613;0
300813;1
301013;0
301213;1
301413;0
301613;1
301813;0
305013;1
305432;0
306005;1
306307;0
306745;1
307258;0
307523;1
307682;0
308708;1
309684;0
310162;1
311171;0
312260;1
312378;0
312519;1
313634;0
314057;1
315069;0
315323;1
316452;0
317546;1
318098;0
318927;1
319352;0
319750;1
320286;0
320409;1
321174;0
321439;1
321947;0
322403;1
322625;0
323529;1
324498;0
324946;1
325771;0
326570;1
327308;0
327881;1
328852;0
329372;1
330382;0
330938;1
332004;0
332692;1
333697;0
334326;1
334498;0
335402;1
335502;0
335891;1
336776;0
337685;1
338631;0
339300;1
339979;0
341030;1
341664;0
342398;1
343447;0
344160;1
345153;0
346234;1
346341;0
347441;1
347545;0
347733;1
348044;0
348901;1
349068;0
350089;1
351024;0
351271;1
352073;0
352711;1
353892;0
354863;1
355428;0
355936;1
356285;0
356568;1
357349;0
357882;1
358493;0
359087;1
360056;0
360675;1
361234;0
361918;1
362547;0
363543;1
364433;0
364586;1
365139;0
365623;1
366715;0
367412;1
368258;0
368672;1
369571;0
369866;1
370502;0
371445;1
372266;0
372996;1
373697;0
374785;1
374990;0
375689;1
376495;0
377683;1
377992;0
378313;1
378699;0
